5881	35592		
6	2	4	1289241912
6	5	2	1289241942
1	15	1	1289243140
4	3	7	1289245277
13	16	8	1289254254
13	10	8	1289254301
7	5	1	1289362700
2	21	5	1289370557
2	20	5	1289370622
21	2	5	1289380982
21	1	8	1289441411
21	10	8	1289441438
21	8	9	1289441451
21	3	7	1289441526
17	3	5	1289442313
17	23	1	1289489668
10	1	8	1289555656
10	6	7	1289555731
10	21	8	1289555746
10	8	1	1289555768
10	25	10	1289555842
10	2	7	1289555871
10	3	7	1289555876
4	26	1	1289641694
26	4	1	1289641704
5	1	3	1289660299
5	6	3	1289660319
5	7	1	1289660347
1	5	4	1289710643
6	4	2	1289770700
4	6	5	1289770757
2	4	5	1289771304
17	28	1	1289836082
17	13	2	1289873368
13	17	2	1289873612
13	29	2	1290088212
29	13	2	1290090118
17	20	2	1290108487
4	31	1	1290197549
31	4	2	1290197554
32	6	1	1290300442
13	1	8	1290520564
7	34	1	1290644458
34	7	1	1290644477
32	1	1	1290666928
1	32	1	1290666953
1	34	1	1290750434
34	1	1	1290752776
34	13	1	1290758643
13	34	1	1290761557
6	7	5	1290826367
7	6	3	1290826591
1	17	9	1290969237
1	31	2	1291052765
31	1	3	1291055973
35	6	2	1291056175
1	13	3	1291090931
36	37	1	1291157823
37	36	1	1291159845
35	1	1	1291159911
17	1	9	1291217882
8	1	3	1291315232
7	29	2	1291376110
1	20	2	1291505266
37	44	1	1291515528
44	37	1	1291515697
39	45	1	1291578872
39	7	3	1291590274
39	44	1	1291591178
44	39	1	1291591212
23	17	1	1291623781
23	19	1	1291623788
36	46	1	1291684580
46	36	1	1291684612
47	1	2	1291740271
13	7	1	1291757016
7	13	1	1291757032
29	51	1	1292070534
51	29	1	1292071379
29	52	1	1292085237
52	29	1	1292085280
45	39	2	1292099161
45	53	2	1292189306
53	45	2	1292189413
45	54	2	1292193828
54	45	2	1292195062
1	54	1	1292196392
54	1	1	1292196407
7	3	6	1292200462
36	41	2	1292206237
41	36	2	1292206272
36	21	2	1292297573
21	36	2	1292297608
7	36	3	1292361186
36	7	4	1292361299
7	53	4	1292442402
53	7	4	1292442433
7	55	1	1292447857
55	7	1	1292490376
29	7	2	1292716197
