5881	35592		
6	2	4	1289241912
6	5	2	1289241942
1	15	1	1289243140
4	3	7	1289245277
13	16	8	1289254254
13	10	8	1289254301
7	5	1	1289362700
2	21	5	1289370557
2	20	5	1289370622
21	2	5	1289380982
21	1	8	1289441411
21	10	8	1289441438
21	8	9	1289441451
21	3	7	1289441526
17	3	5	1289442313
17	23	1	1289489668
10	1	8	1289555656
10	6	7	1289555731
10	21	8	1289555746
10	8	1	1289555768
10	25	10	1289555842
10	2	7	1289555871
10	3	7	1289555876
4	26	1	1289641694
26	4	1	1289641704
5	1	3	1289660299
5	6	3	1289660319
5	7	1	1289660347
1	5	4	1289710643
6	4	2	1289770700
4	6	5	1289770757
2	4	5	1289771304
17	28	1	1289836082
17	13	2	1289873368
13	17	2	1289873612
13	29	2	1290088212
29	13	2	1290090118
17	20	2	1290108487
4	31	1	1290197549
31	4	2	1290197554
32	6	1	1290300442
13	1	8	1290520564
7	34	1	1290644458
34	7	1	1290644477
32	1	1	1290666928
1	32	1	1290666953
1	34	1	1290750434
34	1	1	1290752776
34	13	1	1290758643
13	34	1	1290761557
6	7	5	1290826367
7	6	3	1290826591
1	17	9	1290969237
1	31	2	1291052765
31	1	3	1291055973
35	6	2	1291056175
1	13	3	1291090931
36	37	1	1291157823
37	36	1	1291159845
35	1	1	1291159911
17	1	9	1291217882
8	1	3	1291315232
7	29	2	1291376110
1	20	2	1291505266
37	44	1	1291515528
44	37	1	1291515697
39	45	1	1291578872
39	7	3	1291590274
39	44	1	1291591178
44	39	1	1291591212
23	17	1	1291623781
23	19	1	1291623788
36	46	1	1291684580
46	36	1	1291684612
47	1	2	1291740271
13	7	1	1291757016
7	13	1	1291757032
29	51	1	1292070534
51	29	1	1292071379
29	52	1	1292085237
52	29	1	1292085280
45	39	2	1292099161
45	53	2	1292189306
53	45	2	1292189413
45	54	2	1292193828
54	45	2	1292195062
1	54	1	1292196392
54	1	1	1292196407
7	3	6	1292200462
36	41	2	1292206237
41	36	2	1292206272
36	21	2	1292297573
21	36	2	1292297608
7	36	3	1292361186
36	7	4	1292361299
7	53	4	1292442402
53	7	4	1292442433
7	55	1	1292447857
55	7	1	1292490376
29	7	2	1292716197
4	57	5	1292795818
39	21	2	1292819158
21	39	2	1292819329
4	61	2	1292823618
61	4	3	1292823672
61	20	8	1292823684
61	2	2	1292823728
35	65	1	1292920839
65	35	2	1292935948
56	1	2	1292957157
1	56	2	1292957196
4	66	2	1293050723
66	4	2	1293054743
21	7	5	1293191605
7	20	4	1293409871
35	69	1	1293448473
35	70	1	1293448479
39	69	2	1293453342
69	39	2	1293453456
69	35	2	1293453463
1	71	1	1293481238
71	1	8	1293481552
7	28	2	1293481689
28	7	1	1293482235
4	72	4	1293523499
1	74	1	1293579274
74	1	1	1293579281
41	75	1	1293583961
68	64	1	1293603105
76	7	1	1293604544
7	76	1	1293604590
7	19	5	1293632317
32	23	1	1293643258
23	32	1	1293646340
23	20	1	1293661056
61	77	4	1293665841
1	78	1	1293749574
78	1	1	1293749669
60	41	1	1293819840
41	60	1	1293820340
78	60	1	1293831461
60	78	1	1293831480
57	4	2	1293843254
23	69	1	1293888121
69	23	1	1293888137
64	68	1	1293930358
35	79	1	1293994480
79	35	1	1293996991
41	4	1	1294081163
4	41	1	1294081178
1	68	2	1294083688
68	1	2	1294083726
69	28	3	1294126590
28	69	3	1294152393
64	80	1	1294190543
17	81	1	1294192094
81	17	1	1294192615
69	62	1	1294244410
62	69	1	1294249081
41	83	1	1294262869
41	104	1	1294267265
83	41	1	1294267277
41	86	1	1294271218
86	41	1	1294274023
104	41	1	1294285069
4	87	1	1294300030
87	4	1	1294300186
81	69	2	1294395970
69	81	2	1294396076
41	89	1	1294426073
89	41	1	1294429630
60	87	1	1294429932
87	60	1	1294430000
7	89	2	1294438542
89	7	2	1294439194
64	94	1	1294546375
41	70	1	1294595719
94	64	1	1294599139
70	95	1	1294600322
95	70	3	1294600354
70	41	1	1294600355
70	35	1	1294600362
39	17	3	1294689381
17	39	1	1294689438
70	96	1	1294788722
96	70	3	1294854693
15	97	2	1294919859
97	15	2	1294927077
69	99	4	1294947597
99	69	1	1294953308
88	7	3	1294974058
